,1D_nwp_globalirrad,1D_nwp_directirrad,1D_nwp_temperature,1D_nwp_humidity,1D_nwp_windspeed,1D_nwp_winddirection,1D_nwp_pressure,1D_lmd_totalirrad,1D_lmd_diffuseirrad,1D_lmd_temperature,1D_lmd_pressure,1D_lmd_winddirection,1D_lmd_windspeed,power,2D_u10,2D_v10,2D_d2m,2D_t2m,2D_sp,2D_tcc,2D_ssrd,2D_fdir,3D_r_500hPa,3D_r_850hPa,3D_r_1000hPa,3D_t_500hPa,3D_t_850hPa,3D_t_1000hPa,3D_u_500hPa,3D_u_850hPa,3D_u_1000hPa,3D_v_500hPa,3D_v_850hPa,3D_v_1000hPa
2019-04-01 08:00:00,494.58,448.51,15.88,16.19,6.3,127.46,998.29,497,233,16.9,994.099976,24,3.8,13.92453,1.0470906904296886,0.212597535351568,268.523927634375,281.05365176875,98922.25102239996,0.0,192.5136586524444,420443.41616639984,64.65190960390629,21.27168243964848,35.22923929309102,251.79555868867183,273.93423114375,281.63327735,21.638642541992187,-0.3376385318359489,1.1205889224609338,-17.030369658593745,-3.8516717238280624,0.1550034988281311
2019-04-01 08:15:00,441.94,397.7,15.85,16.16,6.31,131.78,998.21,437,218,16.799999,994.0,37,2.3,12.01288,0.590164334277343,0.1477277229492278,267.55097771328127,281.390147575,98930.28734739998,0.0,243.72048321422216,574219.2202239998,66.01875360297855,21.297006734350624,31.967927379889066,251.8511982833496,273.8793590109375,281.8709276359375,21.61103677280273,-0.3024426339355577,0.6670492350097617,-17.002011561767574,-3.553180808593689,0.0949330317871191
2019-04-01 08:30:00,404.85,362.04,15.81,16.39,6.31,134.57,998.06,375,205,17.299999,993.900024,27,2.6,10.31888,0.1332379781249975,0.0828579105468877,266.5780277921875,281.72664338125,98938.32367239996,0.0,294.9273077759999,727995.0242815998,67.38559760205081,21.32233102905277,28.706615466687104,251.9068378780273,273.82448687812496,282.108577921875,21.58343100361328,-0.2672467360351664,0.2135095475585896,-16.973653464941403,-3.254689893359316,0.0348625647461071
2019-04-01 08:45:00,347.23,306.87,15.74,16.63,6.3,136.8,997.96,293,178,16.9,993.799988,30,4.5,8.230032000000001,-0.323688378027348,0.0179880981445475,265.6050778710937,282.0631391875,98946.35999739997,0.0,346.1341323377777,881770.8283391998,68.75244160112307,21.347655323754918,25.445303553485147,251.96247747270507,273.7696147453125,282.3462282078125,21.55582523442383,-0.2320508381347752,-0.2400301398925823,-16.945295368115232,-2.9561989781249416,-0.0252079022949048
2019-04-01 09:00:00,308.04,269.53,15.68,16.72,6.29,138.1,997.88,248,164,16.799999,993.900024,14,2.7,6.735094,-0.7806147341796937,-0.0468817142577926,264.63212795,282.39963499375,98954.39632239996,0.0,397.34095689955547,1035546.6323968,70.11928560019533,21.37297961845706,22.18399164028319,252.0181170673828,273.7147426125,282.58387849375,21.528219465234372,-0.196854940234384,-0.6935698273437547,-16.91693727128906,-2.6577080628905683,-0.0852783693359168
2019-04-01 09:15:00,248.61,213.29,15.55,16.67,6.29,138.29,997.8,157,113,16.700001,993.799988,38,3.4,3.8675,-1.0219560062011777,-0.0369114569824025,264.1390732083008,283.366399090625,98967.15027859998,0.0,445.0566208995554,1187811.9251968,70.66356695512697,21.25416532305301,21.47740491566161,252.0764348240723,273.70297290234373,282.8178076960937,21.537532941894533,-0.0261774397461014,-0.965476103906254,-16.84985515776367,-2.348685270849554,-0.0828138840331829
2019-04-01 09:30:00,208.91,176.08,15.4,16.51,6.2,137.32,997.7,71,63,16.200001,994.0,21,1.8,1.461086,-1.2632972782226617,-0.0269411997070124,263.6460184666016,284.3331631875,98979.90423479996,0.0,492.7722848995554,1340077.2179968,71.20784831005861,21.135351027648955,20.77081819104003,252.1347525807617,273.6912031921875,283.05173689843747,21.546846418554686,0.1445000607421811,-1.2373823804687534,-16.78277304423828,-2.03966247880854,-0.0803493987304491
2019-04-01 09:45:00,149.9,121.55,15.16,16.55,5.93,135.14,997.59,66,66,15.9,994.0,40,2.2,0.440118,-1.5046385502441455,-0.0169709424316223,263.15296372490235,285.29992728437503,98992.65819099997,0.0,540.4879488995555,1492342.5107968,71.75212966499024,21.0165367322449,20.06423146641845,252.1930703374512,273.6794334820313,283.28566610078127,21.55615989521484,0.3151775612304637,-1.5092886570312527,-16.71569093071289,-1.7306396867675262,-0.0778849134277153
2019-04-01 10:00:00,111.53,86.89,14.89,16.95,5.39,132.45,997.46,45,51,15.6,994.099976,36,1.7,0.0,-1.7459798222656295,-0.0070006851562323,262.65990898320314,286.26669138125004,99005.41214719995,0.0,588.2036128995554,1644607.8035968,72.29641101992188,20.89772243684085,19.35764474179687,252.25138809414065,273.667663771875,283.519595303125,21.565473371875,0.4858550617187462,-1.781194933593752,-16.648608817187498,-1.4216168947265122,-0.0754204281249815
2019-04-01 10:15:00,57.24,39.94,14.35,18.16,4.63,129.2,997.32,17,21,15.4,994.400024,18,2.6,0.0,-1.76641318916016,0.1333300005859547,262.6661117181641,286.24766498828126,98995.68211599997,0.0,625.7562271288888,1766904.4324352,72.51780417836913,21.24413327064823,18.81935828128052,252.2972944780273,273.6744602828125,283.79589986328125,21.61732124785156,0.7133763847167941,-1.8107085038085948,-16.484297851367185,-0.9981420942870616,0.0714519772949396
2019-04-01 10:30:00,25.41,14.93,13.58,20.08,3.92,125.06,997.22,4,5,14.9,994.5,28,1.8,0.0,-1.7868465560546904,0.2736606863281418,262.672314453125,286.22863859531253,98985.95208479997,0.0,663.3088413582221,1889201.0612736,72.7391973368164,21.59054410445561,18.281071820764165,252.34320086191408,273.68125679375,284.0722044234375,21.669169123828123,0.940897707714842,-1.8402220740234376,-16.31998688554687,-0.5746672938476107,0.2183243827148608
2019-04-01 10:45:00,0.0,0.0,12.81,21.6,3.42,120.78,997.23,0,0,14.4,994.700012,357,1.5,0.0,-1.807279922949221,0.4139913720703289,262.67851718808595,286.2096122023437,98976.22205359997,0.0,700.8614555875555,2011497.690112,72.96059049526366,21.93695493826299,17.74278536024781,252.3891072458008,273.6880533046875,284.3485089835938,21.72101699980469,1.1684190307128897,-1.8697356442382809,-16.15567591972656,-0.1511924934081601,0.365196788134782
2019-04-01 11:00:00,0.0,0.0,12.34,22.94,3.0,117.63,997.34,0,0,14.2,994.599976,1,1.5,0.0,-1.8277132898437516,0.554322057812516,262.6847199230469,286.19058580937497,98966.49202239997,0.0,738.4140698168889,2133794.3189504,73.18198365371093,22.28336577207037,17.20449889973146,252.43501362968752,273.694849815625,284.62481354375,21.77286487578125,1.3959403537109376,-1.899249214453124,-15.991364953906247,0.2722823070312907,0.5120691935547032
2019-04-01 11:15:00,0.0,0.0,12.0,24.05,2.5,114.8,997.45,0,0,13.7,994.799988,20,1.0,0.0,-1.769493421533204,0.6664973476074371,262.66945777197265,286.1783181070312,98939.42554119996,0.0,761.9842845866667,2211052.2221056,72.85305951401367,22.978866060009835,16.848394961233534,252.48152305249025,273.77399145625,284.91946787421875,21.91250230273437,1.4158949369140597,-1.837564500537108,-15.819173863671873,0.5708867226562886,0.6382354679199366
2019-04-01 11:30:00,0.0,0.0,11.75,24.92,1.97,112.91,997.64,0,0,13.3,995.099976,11,1.7,0.0,-1.711273553222657,0.7786726374023583,262.65419562089846,286.16605040468744,98912.35905999996,0.0,785.5544993564445,2288310.1252608,72.52413537431639,23.674366347949302,16.492291022735614,252.52803247529295,273.853133096875,285.2141222046875,22.0521397296875,1.435849520117182,-1.775879786621092,-15.646982773437497,0.8694911382812864,0.7644017422851701
